timestamp,occupancy_now,occupancy_forecast_15min,outdoor_temperature_C,scheduled_room_temperature_C,predictive_room_temperature_C,scheduled_hvac_power_kW,predictive_hvac_power_kW,scheduled_energy_cumulative_kWh,predictive_energy_cumulative_kWh,scheduled_comfort_ok,predictive_comfort_ok,occupancy_actual_15min_later,forecast_time
2024-09-01 12:20:00,0.0,0.06983695611449728,27.0,26.448793960273832,25.40919102358238,0.0,0.0,0.0,0.16150648395220438,,,0.0,2024-09-01 12:35:00
2024-09-01 12:25:00,1.0,0.5838562770901168,27.0,26.465330141465618,25.45691529287491,0.0,0.0,0.0,0.16150648395220438,False,True,1.0,2024-09-01 12:40:00
2024-09-01 12:30:00,0.0,0.1727146118013287,27.0,26.503870237221648,25.525707834088664,0.0,0.0,0.0,0.16150648395220438,,,1.0,2024-09-01 12:45:00
2024-09-01 12:35:00,0.0,0.1727146118013287,27.0,26.518754130105,25.569936599066004,0.0,0.0,0.0,0.16150648395220438,,,0.0,2024-09-01 12:50:00
2024-09-01 12:40:00,1.0,0.6860871301261903,27.0,26.53319150620185,25.612838501094025,0.0,0.0,0.0,0.16150648395220438,False,True,0.0,2024-09-01 12:55:00
2024-09-01 12:45:00,1.0,0.6851347347547098,27.0,26.569695761015794,25.676953346061204,0.0,0.5946944157282511,0.0,0.21106435192955864,False,True,0.0,2024-09-01 13:00:00
2024-09-01 12:50:00,0.0,0.27466179448747885,27.0,26.60510488818532,25.203919771523942,0.0,0.5946944157282511,0.0,0.2606222199069129,,,0.0,2024-09-01 13:05:00
2024-09-01 12:55:00,0.0,0.27466179448747885,27.0,26.61695174153976,24.722577204222798,0.0,0.5946944157282511,0.0,0.3101800878842672,,,0.0,2024-09-01 13:10:00
2024-09-01 13:00:00,0.0,0.17108915521209916,27.0,26.62844318929357,24.255674913940688,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:15:00
2024-09-01 13:05:00,0.0,0.06788498784746749,27.0,26.63958989361476,24.338004666522465,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:20:00
2024-09-01 13:10:00,0.0,0.06788498784746749,27.0,26.65040219680632,24.41786452652679,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:25:00
2024-09-01 13:15:00,0.0,0.06788498784746749,27.0,26.66089013090213,24.49532859073099,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:30:00
2024-09-01 13:20:00,0.0,0.06788498784746749,27.0,26.671063426975063,24.570468733009058,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:35:00
2024-09-01 13:25:00,0.0,0.06788498784746749,27.0,26.68093152416581,24.643354671018788,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:40:00
2024-09-01 13:30:00,0.0,0.06788498784746749,27.0,26.690503578440836,24.714054030888224,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:45:00
2024-09-01 13:35:00,0.0,0.06788498784746749,27.0,26.69978847108761,24.78263240996158,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:50:00
2024-09-01 13:40:00,0.0,0.06788498784746749,27.0,26.708794816954985,24.849153437662732,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 13:55:00
2024-09-01 13:45:00,0.0,0.06396824429555632,27.0,26.717530972446337,24.91367883453285,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 14:00:00
2024-09-01 13:50:00,0.0,0.06396824429555632,27.0,26.726005043272945,24.976268469496862,0.0,0.0,0.0,0.3101800878842672,,,0.0,2024-09-01 14:05:00
